Date,Close,High,Low,Open,Volume
2014-01-02,44.6087646484375,45.16415264607786,44.43103981122872,45.16415264607786,52600
2014-01-03,44.80426788330078,44.91534550505409,44.65320394482988,44.702078369586935,22800
2014-01-06,44.40883255004883,45.03531197413522,44.40883255004883,45.03531197413522,43800
2014-01-07,44.902008056640625,44.9864281176035,44.53323299993927,44.53323299993927,38000
2014-01-08,44.71095275878906,44.88867759050079,44.559888855216585,44.88867759050079,35600
2014-01-09,44.728721618652344,44.88867361404164,44.4976817307672,44.81314166894639,16800
2014-01-10,44.870906829833984,44.870906829833984,44.51990120327749,44.750944512063235,22400
2014-01-13,44.16888427734375,44.862007193551115,43.98227139313402,44.857563141831825,24000
2014-01-14,44.790931701660156,44.80870452497907,44.306634978042624,44.417712581421256,19600
2014-01-15,45.1330451965332,45.16859083732579,44.87978843806909,44.90644597375409,24800
2014-01-16,45.141944885253906,45.141944885253906,44.97755217424274,45.12417205896243,27400
2014-01-17,44.83092498779297,45.141940946204826,44.80426405577216,45.141940946204826,29400
2014-01-21,45.10640335083008,45.226369091795284,44.8842480866341,45.20415220944756,44600
2014-01-22,45.38630676269531,45.45295399878652,45.0930602798217,45.0930602798217,42600
2014-01-23,44.96421432495117,45.23968801289635,44.7509472160681,45.23968801289635,32000
2014-01-24,43.888980865478516,44.80870325989434,43.82677768052822,44.80870325989434,29200
2014-01-27,43.2447395324707,44.05782851879654,43.09367220761053,44.05782851879654,38600
2014-01-28,43.62238693237305,43.62238693237305,43.22695102257327,43.249164504467736,16000
2014-01-29,43.01813888549805,43.45800529465132,42.87595967295255,43.35137173269716,18800
2014-01-30,43.56907272338867,43.80900072405223,43.275829649123665,43.36024631226562,12800
2014-01-31,43.338035583496094,43.62683801320145,42.94704366301175,43.00924684604745,11800
2014-02-03,41.876251220703125,43.33803270457545,41.72074327344416,43.27138547294474,50400
2014-02-04,42.24946212768555,42.360539695660094,41.92511752749815,42.1028423142211,25600
2014-02-05,41.947357177734375,42.08064829780037,41.40085375498519,42.05843480603281,13400
2014-02-06,42.47163009643555,42.49829102588152,42.21837330052479,42.258362999784055,6600
2014-02-07,42.87149429321289,42.87149429321289,42.47161439752592,42.64489851050538,8600
2014-02-10,42.827083587646484,42.91594432085406,42.47163387517679,42.91594432085406,11400
2014-02-11,43.15141677856445,43.29359593640904,42.840397540279184,42.86705846287527,6200
2014-02-12,43.29804992675781,43.52909324801209,43.18253165595023,43.24917550840862,11200
2014-02-13,43.911190032958984,43.95117633491354,42.96480687554291,42.96480687554291,9400
2014-02-14,43.97339630126953,44.35994413997212,43.6534923038474,44.35994413997212,9800
2014-02-18,44.40439224243164,44.413276960868316,44.01339683481624,44.01339683481624,9800
2014-02-19,43.964500427246094,44.52877637571751,43.9467309992572,44.3110652897605,14000
2014-02-20,44.528778076171875,44.58653719388744,44.031149328019836,44.124454082707366,7800
2014-02-21,44.47990417480469,44.66206963415961,44.475460122678406,44.62652738660501,9000
2014-02-24,44.97310256958008,45.17304090849757,44.799821771899694,44.82647931313681,10400
2014-02-25,44.8087043762207,45.039747688780125,44.78649088951038,44.97754450228015,5800
2014-02-26,45.173030853271484,45.40851478796764,44.910889383272014,44.919774098433514,10400
2014-02-27,45.261905670166016,45.261905670166016,45.05307922133153,45.084180816488605,6000
2014-02-28,45.16859436035156,45.59513191367467,45.16859436035156,45.25301102654461,7200
2014-03-03,44.924217224121094,45.017521985576614,44.573211660653904,44.924217224121094,11800
2014-03-04,46.32380676269531,46.40822344001367,45.897269153158646,45.897269153158646,16600
2014-03-05,46.230499267578125,46.230499267578125,46.088320072736224,46.14607920539033,7200
2014-03-06,46.35045623779297,46.39044593256945,46.21272111206966,46.39044593256945,8600
2014-03-07,46.31047439575195,46.5637311876792,46.28381346672533,46.5637311876792,12600
2014-03-10,46.24827575683594,46.301594234218605,46.06611022463001,46.29715018031507,15800
2014-03-11,45.72397994995117,46.35489983621417,45.72397994995117,46.274923837264005,7400
2014-03-12,45.85283660888672,45.86616876969712,45.612911951414475,45.612911951414475,2600
2014-03-13,45.306339263916016,46.05722504454354,45.1508312770517,45.98168968822098,20800
2014-03-14,45.44407272338867,45.59958070442957,45.22636154993141,45.22636154993141,12000
2014-03-17,45.85728073120117,45.923927976074296,45.746203119685866,45.81285036455899,11600
2014-03-18,46.452659606933594,46.452659606933594,45.892827482305655,45.98613227144035,4400
2014-03-19,46.14162826538086,46.408213792193266,46.14162826538086,46.39044436158214,10000
2014-03-20,46.292694091796875,46.359337929045005,46.02610518352921,46.09275241059613,5800
2014-03-21,46.04832458496094,46.67035975538522,46.04832458496094,46.43487581132478,11200
2014-03-24,45.457401275634766,46.23938862058395,45.13305654385782,46.23938862058395,13000
2014-03-25,45.4351806640625,45.795070989149025,45.29300147725382,45.795070989149025,4200
2014-03-26,44.577659606933594,45.75508274879105,44.577659606933594,45.75508274879105,7800
2014-03-27,44.35993957519531,44.750934816173945,44.284407636303946,44.31995327454175,10000
2014-03-28,44.39106369018555,44.8931333349416,44.39106369018555,44.62654771285715,5400
2014-03-31,45.230796813964844,45.27967122562566,44.5110127975394,44.71095110719248,9000
2014-04-01,45.848388671875,45.93724939092967,45.35075983163907,45.35075983163907,21000
2014-04-02,46.07054901123047,46.08387778159726,45.85283446250776,45.9105969871899,12400
2014-04-03,45.741756439208984,46.15940931926379,45.612909400292004,46.15940931926379,10000
2014-04-04,44.622093200683594,46.03055634228317,44.43103959483304,46.03055634228317,11400
2014-04-07,43.92008972167969,44.55989788963386,43.70237853834747,44.493250640501984,19200
2014-04-08,44.3199577331543,44.3199577331543,43.76456979163607,43.98672496824336,6000
2014-04-09,44.55989074707031,44.635422702063366,44.31551866936412,44.462141915987836,6200
2014-04-10,43.76013946533203,44.862030978458236,43.54242827311606,44.80426844493764,8400
2014-04-11,43.213626861572266,43.74679794133154,43.04034609115955,43.28027409399694,16600
2014-04-14,43.32470703125,43.64461105407552,43.00035895537989,43.55574694227996,14200
2014-04-15,43.40469741821289,43.5246597716099,42.51607634474641,43.50688694336212,11600
2014-04-16,43.92452621459961,43.93341093103852,43.58240530986311,43.782347022841655,11000
2014-04-17,44.3199577331543,44.3199577331543,43.74679697072921,43.80900014899373,10200
2014-04-21,44.257747650146484,44.37770993527851,44.035592508198086,44.37770993527851,9000
2014-04-22,44.81312942504883,44.83090224077161,44.351046385710504,44.417693597216434,71600
2014-04-23,44.413265228271484,44.724284528514886,44.413265228271484,44.724284528514886,5200
2014-04-24,44.186668395996094,44.4576980140763,44.0000588395597,44.38661011202312,7800
2014-04-25,43.506866455078125,44.14223035899346,43.3824601057496,44.14223035899346,10600
2014-04-28,43.20918655395508,43.617951309854874,42.62269695945818,43.591293770502084,12200
2014-04-29,43.31581115722656,43.577956002738304,43.31581115722656,43.32469926172182,8000
2014-04-30,43.23139953613281,43.24472830460869,43.09810507173591,43.24472830460869,2400
2014-05-01,43.40469741821289,43.920095878116854,43.25363007301699,43.48911411511435,7400
2014-05-02,43.804561614990234,43.955628916821134,43.66682647288335,43.68015524278796,7000
2014-05-05,43.72459030151367,43.737919071816385,43.19585981404268,43.471330106484096,14400
2014-05-06,42.86705780029297,43.457987903245986,42.86705780029297,43.44910318906363,7400
2014-05-07,42.86262512207031,42.898170767868855,42.38276907324804,42.898170767868855,7000
2014-05-08,42.62269973754883,43.33359574845315,42.440530833912945,43.33359574845315,5000
2014-05-09,42.849300384521484,42.849300384521484,42.36055618334848,42.516067550896075,11800
2014-05-12,43.8712043762207,43.9156347346407,43.07144775520363,43.07144775520363,10000
2014-05-13,43.32470703125,43.835664657161914,43.32470703125,43.769017420770055,8800
2014-05-14,42.4316291809082,43.26693123659571,42.4316291809082,43.26693123659571,8600
2014-05-15,42.23170471191406,42.271691020645484,41.68520143051599,42.24947414480403,20600
2014-05-16,42.560482025146484,42.560482025146484,42.05841263029418,42.05841263029418,7600
2014-05-19,43.049232482910156,43.098106895936446,42.36499409036132,42.56049174246647,11200
2014-05-20,42.258365631103516,42.556052808201265,42.191718388067706,42.556052808201265,5600
2014-05-21,42.649349212646484,42.71155238997281,42.329445220786,42.573817267295794,4000
2014-05-22,43.058128356933594,43.11144344271235,42.662688928428985,42.667132982183816,13200
2014-05-23,43.418006896972656,43.418006896972656,43.022570966197506,43.022570966197506,8800
2014-05-27,43.9822883605957,44.16445726336315,43.764577199817154,43.764577199817154,15000
